,code,outstanding,liquid_assets,totals,totalAssets,growth
258,600393,3.0,28.56,12.68,10622724.257599998,58.3
259,000626,4.05,199.26,5.99,72565221.696,-52.24
260,600139,6.62,147.8908,6.62,15341435.159599999,-48.43
261,002012,4.68,29.5776,4.68,1062069.364,131.01
262,300275,1.13,18.5546,1.68,1392473.7984000002,64.43
263,002108,6.14,82.89,6.42,4323754.755,55.11
264,000545,9.59,54.8548,9.87,1542085.0016,5.77
265,603828,0.6,19.59,1.85,8513777.432,-23.61
266,002034,0.61,22.2833,1.08,3927006.4158,48.86
267,000908,4.8,59.424,8.8,4897330.6628,-19.14
268,300243,1.33,26.7995,2.06,2353179.465,-19.55
269,000796,2.46,51.2664,8.03,8655485.1192,-25.24
270,002104,7.09,116.41780000000001,7.14,3293006.0416000006,-32.89
271,300441,0.87,65.82419999999999,3.49,10145861.4894,-69.55
272,000411,2.07,37.1979,2.07,13291498.1007,33.56
273,603328,0.98,23.7454,4.98,13382363.7188,23.65
274,002436,9.73,139.8201,14.88,5829322.5603,-52.33
275,002511,4.84,55.3696,5.05,4970767.630399999,63.72
276,002145,10.22,142.05800000000002,15.94,6892537.4,-53.24
277,300365,1.03,28.8812,1.76,2359834.0623999997,30.53
278,603227,4.22,74.1454,6.59,4650404.5833,-48.61
279,600867,13.63,326.43850000000003,14.22,11074086.9805,-14.2
280,000911,3.24,44.3232,3.24,8237643.739199999,18.64
281,300378,2.61,108.05399999999999,2.63,7075503.432,-47.27
282,002203,14.45,107.94149999999999,16.92,8661299.7636,30.52
283,002114,2.72,50.836800000000004,3.23,3507128.037,16.1
284,002680,2.88,99.38879999999999,9.69,13260910.6084,-54.85
285,002112,1.83,25.7847,2.02,1766297.3198,21.36
286,300037,1.13,37.7646,1.89,8813515.047600001,48.17
287,300368,2.1,67.452,5.44,4983892.412399999,-41.69
288,002306,6.18,37.5744,8.0,78823.6128,11.84
289,600980,1.43,28.585699999999996,1.52,1513838.3021999998,9.35
290,600567,37.67,108.86630000000001,45.51,5783925.7182,29.41
291,002558,0.64,21.568,16.87,27566465.200000003,141.66
292,300194,1.59,28.5882,3.97,8156892.205,42.05
293,603997,1.14,19.8588,4.2,2969478.5250000004,21.58
294,002107,3.49,54.1299,3.61,1094426.7015,-2.19
295,300102,6.1,37.82,7.05,2100679.35,24.84
296,600614,11.8,296.062,17.53,21555363.202099998,-48.03
297,300142,10.86,454.3824,15.37,27847529.9696,-72.32
298,000705,2.82,33.0222,3.34,2333487.5326,9.65
299,300398,0.45,27.576,1.04,7007410.896,17.9
300,300010,4.32,98.28,8.72,14557972.52,-28.62
301,600810,4.42,30.630599999999998,4.42,6162395.9859,53.68
302,600375,5.56,36.306799999999996,5.56,6249011.6839000005,18.68
303,002308,8.36,129.998,8.47,4652869.134000001,-9.52
304,300342,2.81,111.58510000000001,3.29,5345330.9349,-42.96
305,300054,3.54,59.578199999999995,5.34,4955347.950299999,26.62
306,300453,0.71,36.9981,1.59,3171736.1187,-56.84
307,000989,3.22,77.924,8.69,11339129.978,-14.05
308,002517,1.77,77.2605,7.18,16115839.281,-26.07
309,300493,0.62,31.558,1.2,4643622.779,-8.88
310,000688,11.37,88.11749999999999,11.37,1465367.4425000001,33.55
311,603355,0.67,20.401500000000002,4.01,14040365.5875,52.35
312,300310,2.17,63.0385,4.44,8888349.484000001,-24.34
313,000757,3.66,45.384,4.52,1057427.3599999999,-18.15
314,603618,2.63,73.2718,6.87,11278306.095,-55.13
315,603729,0.36,23.832,0.67,6057390.032000001,15.23
316,600004,11.5,129.605,11.5,19096104.947499998,31.85
317,300472,0.33,13.338600000000001,1.0,2280838.3532000002,-18.04
318,002572,2.89,115.02199999999999,4.62,19417398.732,47.66
319,002281,2.06,101.9288,2.1,23618495.721199997,59.26
320,002624,3.09,59.019,13.15,25216703.375000004,49.63
321,600285,5.35,48.577999999999996,5.92,2786548.7604,34.25
322,300208,6.08,147.744,7.67,5824801.611,-33.13
